stripid,PU,S,A,A_std,E_pu,E_pu_std,w1,w2,w3,w4,w5,sw1,sw2,sw3,sw4,sw5,eta_ring
25032,50,30,21.6,0.527848,0.097495,0.038834,-0.7151649999999999,-0.479229,0.328511,0.513478,0.352405,0.014735299999999998,0.0113605,0.0145554,0.00962898,0.00943111,-23
181064,30,2,1.21828,0.08318810000000001,0.028491200000000005,0.0185982,-0.734182,-0.48500699999999997,0.345442,0.527325,0.346422,0.0911379,0.09633530000000001,0.112161,0.0879583,0.105465,-21
181064,30,10,5.98537,0.117226,0.028398200000000002,0.0177161,-0.724779,-0.47434799999999994,0.3299,0.517386,0.35184099999999996,0.0201107,0.0183698,0.0267159,0.018232400000000003,0.0207477,-21
181064,30,30,17.9019,0.244396,0.0288192,0.019196900000000003,-0.722238,-0.472682,0.328251,0.515175,0.35149400000000003,0.00976862,0.00760209,0.0132911,0.00652204,0.00928603,-21
181064,50,2,1.2371299999999998,0.11533900000000001,0.047190800000000005,0.023855200000000003,-0.743796,-0.49554799999999993,0.357483,0.537734,0.34412600000000004,0.129775,0.11575999999999999,0.13709000000000002,0.109081,0.136245,-21
181064,50,10,6.00323,0.12761199999999998,0.047749900000000005,0.026072500000000002,-0.7270270000000001,-0.47607,0.331326,0.518698,0.353073,0.024928400000000003,0.0224354,0.028532,0.0219621,0.0188056,-21
181064,50,30,17.922,0.272471,0.0476723,0.0240023,-0.722962,-0.473326,0.32861599999999996,0.515725,0.351948,0.0104286,0.00827898,0.0138852,0.00721523,0.00959842,-21
180880,30,2,1.16344,0.0936066,0.025415200000000002,0.0175857,-0.7144659999999999,-0.491728,0.32648,0.520094,0.35962,0.10156699999999999,0.09864860000000002,0.11594700000000001,0.0883964,0.108832,-20
180880,30,10,5.71364,0.130893,0.025441299999999997,0.0171423,-0.7075229999999999,-0.48056099999999996,0.312694,0.509812,0.365578,0.0260222,0.019131400000000003,0.023679099999999998,0.0171457,0.0173997,-20
180880,30,30,17.0927,0.312195,0.025271400000000003,0.0172924,-0.705534,-0.47937799999999997,0.31148200000000004,0.508514,0.364915,0.020230099999999997,0.0106684,0.0163783,0.008112399999999999,0.012043,-20
