stripid,PU,S,A,A_std,E_pu,E_pu_std,w1,w2,w3,w4,w5,sw1,sw2,sw3,sw4,sw5,eta_ring,w1c,w2c,w3c,w4c,w5c,encw1,encw2,encw3,encw4,encw5
188816,30,10,5.24684,0.156284,0.0193948,0.0158064,-0.693568,-0.491968,0.310826,0.514528,0.360181,0.0230404,0.0200332,0.0305804,0.0203843,0.025837,-19,-0.6875,-0.5,0.3125,0.515625,0.359375,84,96,20,33,23
188816,30,30,15.6998,0.248598,0.0195013,0.0155765,-0.691714,-0.490303,0.309366,0.5128,0.359851,0.0140902,0.00898138,0.0132624,0.00597735,0.00910918,-19,-0.6875,-0.5,0.3125,0.515625,0.359375,84,96,20,33,23
188816,50,2,1.07567,0.0984397,0.0317252,0.0192137,-0.704947,-0.508468,0.332139,0.52931,0.351966,0.112147,0.116384,0.128438,0.102419,0.131265,-19,-0.703125,-0.515625,0.328125,0.53125,0.359375,83,95,21,34,23
188816,50,10,5.25775,0.139937,0.0322141,0.019722,-0.695161,-0.492969,0.311851,0.515533,0.360745,0.0248629,0.0226541,0.0319045,0.0214527,0.0244851,-19,-0.6875,-0.5,0.3125,0.515625,0.359375,84,96,20,33,23
188816,50,30,15.7108,0.244235,0.0320988,0.0197973,-0.692215,-0.49063,0.309653,0.513231,0.35996,0.0145092,0.0100506,0.0139369,0.0069205,0.00967742,-19,-0.6875,-0.5,0.3125,0.515625,0.359375,84,96,20,33,23
188616,30,2,0.990894,0.0586589,0.0143966,0.0127285,-0.726793,-0.478845,0.339034,0.521039,0.345565,0.0908939,0.0849716,0.102089,0.0811377,0.10377,-19,-0.71875,-0.484375,0.34375,0.515625,0.34375,82,97,22,33,22
188616,30,10,4.90412,0.144189,0.0143716,0.0121209,-0.72319,-0.472277,0.329479,0.514067,0.351921,0.0225465,0.0179367,0.0251502,0.0163622,0.0182698,-19,-0.71875,-0.46875,0.328125,0.515625,0.34375,82,98,21,33,22
188616,30,30,14.6825,0.381383,0.014451,0.0123758,-0.721842,-0.471643,0.328667,0.51325,0.351569,0.0154201,0.00951624,0.0177818,0.00623315,0.0134161,-19,-0.71875,-0.46875,0.328125,0.515625,0.34375,82,98,21,33,22
188616,50,2,1.00268,0.107273,0.0240716,0.0162042,-0.733179,-0.486741,0.348235,0.527713,0.343972,0.101713,0.115441,0.138933,0.105182,0.126776,-19,-0.734375,-0.484375,0.34375,0.53125,0.34375,81,97,22,34,22
188616,50,10,4.91239,0.157454,0.0241533,0.0162541,-0.724839,-0.4736,0.330898,0.515324,0.352217,0.0259285,0.0221425,0.0292227,0.0205603,0.0208865,-19,-0.71875,-0.46875,0.328125,0.515625,0.34375,82,98,21,33,22
188616,50,30,14.6913,0.383022,0.0241763,0.0163122,-0.722346,-0.471759,0.328911,0.513438,0.351756,0.0159882,0.0106813,0.0184631,0.00760386,0.0138773,-19,-0.71875,-0.46875,0.328125,0.515625,0.34375,82,98,21,33,22
270536,30,2,0.979791,0.0834878,0.013756,0.012922,-0.687057,-0.499858,0.310739,0.514756,0.36142,0.0839355,0.0887167,0.0996757,0.0827777,0.0948032,-18,-0.6875,-0.5,0.3125,0.515625,0.359375,84,96,20,33,23
270536,30,10,4.84075,0.137857,0.0134892,0.0124651,-0.683489,-0.493576,0.301254,0.508005,0.367806,0.0211227,0.0174636,0.023962,0.0166129,0.0170911,-18,-0.6875,-0.5,0.296875,0.515625,0.375,84,96,19,33,24
270536,30,30,14.4936,0.367753,0.0134837,0.013282,-0.682377,-0.492754,0.300742,0.507139,0.367251,0.0134867,0.00759749,0.0168666,0.00614495,0.012484,-18,-0.6875,-0.484375,0.296875,0.5,0.375,84,97,19,32,24
270536,50,2,0.988576,0.100091,0.0225871,0.0167037,-0.692595,-0.507249,0.319619,0.521619,0.358606,0.102963,0.113694,0.122694,0.0981132,0.118096,-18,-0.6875,-0.5,0.3125,0.515625,0.359375,84,96,20,33,23
270536,50,10,4.84968,0.157799,0.0228292,0.0167635,-0.685117,-0.49458,0.302342,0.509269,0.368086,0.0232313,0.020136,0.0263522,0.0188457,0.0184551,-18,-0.6875,-0.5,0.296875,0.515625,0.375,84,96,19,33,24
270536,50,30,14.5044,0.377539,0.0225582,0.0157898,-0.682762,-0.492993,0.300819,0.507429,0.367506,0.0138998,0.00820257,0.0172073,0.00674318,0.0126536,-18,-0.6875,-0.5,0.296875,0.515625,0.375,84,96,19,33,24
123144,30,2,1.36931,0.141127,0.0442469,0.0263844,-0.726679,-0.496444,0.351432,0.526357,0.345334,0.106971,0.10685,0.128743,0.0977212,0.121026,-21,-0.71875,-0.5,0.34375,0.53125,0.34375,82,96,22,34,22
