CMSSWID,SM/iz,TT/SC,Strip,XTAL,iphi/ix,ieta/iy,eta,eta_ring,A,t0,alpha,beta,stripid
872415538,-1,235,2,5,2,50,-1.52745,-18,0.229607,122.89299999999999,1.45977,38.0101,229584
872415539,-1,156,2,5,2,51,-1.52755,-18,0.23184899999999997,122.171,1.5442200000000001,36.3745,229520
872415540,-1,156,2,4,2,52,-1.52725,-18,0.23105599999999998,122.721,1.49161,37.3396,229520
872415541,-1,156,2,3,2,53,-1.5266,-18,0.23281500000000002,123.098,1.57059,36.0236,229520
872415542,-1,156,2,2,2,54,-1.52559,-18,0.230039,123.63600000000001,1.48542,37.5829,229520
872415543,-1,156,2,1,2,55,-1.5242200000000001,-18,0.23272800000000002,122.96799999999999,1.50039,37.0281,229520
872415544,-1,157,2,5,2,56,-1.5227600000000001,-18,0.230237,123.295,1.49282,37.6603,229456
872415545,-1,157,2,4,2,57,-1.5205799999999998,-18,0.229868,123.163,1.47432,37.9347,229456
872415546,-1,157,2,3,2,58,-1.51806,-18,0.23128400000000002,122.95700000000001,1.48917,37.3171,229456
872415547,-1,157,1,1,2,59,-1.51519,-18,0.22875700000000002,125.34100000000001,1.43925,39.1327,229448
872415548,-1,157,4,4,2,60,-1.5119999999999998,-18,0.232527,122.46,1.53207,36.5122,221448
872415658,-1,236,3,1,3,42,-1.5330700000000002,-18,0.235909,123.361,1.5882,35.2668,229656
872415659,-1,236,3,4,3,43,-1.5362200000000001,-18,0.22620700000000002,124.345,1.45366,39.2104,229656
872415660,-1,236,2,4,3,44,-1.53901,-18,0.226706,122.631,1.39101,39.7616,229648
872415661,-1,236,2,5,3,45,-1.54146,-18,0.22876799999999997,122.87700000000001,1.43927,38.556999999999995,229648
872415662,-1,235,3,1,3,46,-1.54321,-18,0.235294,122.59700000000001,1.49518,36.3915,229592
872415663,-1,235,3,2,3,47,-1.54482,-18,0.23211199999999999,123.932,1.53282,36.6565,229592
872415664,-1,235,3,3,3,48,-1.54606,-18,0.231871,123.473,1.52379,36.8978,229592
872415665,-1,235,3,4,3,49,-1.54692,-18,0.231408,124.01,1.52559,36.9732,229592
872415666,-1,235,3,5,3,50,-1.54741,-18,0.22935100000000003,123.59100000000001,1.4545700000000001,38.3969,229592
872415667,-1,156,3,5,3,51,-1.54751,-18,0.23325900000000002,123.01799999999999,1.52699,36.566,229528
872415668,-1,156,3,4,3,52,-1.54721,-18,0.22882399999999997,122.598,1.38448,39.2798,229528
872415669,-1,156,3,3,3,53,-1.54653,-18,0.233452,121.734,1.4714200000000002,36.9708,229528
872415670,-1,156,3,2,3,54,-1.5454700000000001,-18,0.233138,123.53,1.53854,36.3891,229528
872415671,-1,156,3,1,3,55,-1.54405,-18,0.23355900000000002,123.476,1.5356,36.5107,229528
872415672,-1,157,3,5,3,56,-1.54249,-18,0.22322199999999998,124.936,1.35358,41.5175,229464
872415673,-1,157,3,4,3,57,-1.54023,-18,0.227804,123.711,1.4600600000000001,38.6174,229464
872415674,-1,157,2,2,3,58,-1.5376,-18,0.234046,122.82,1.54051,36.0955,229456
872415675,-1,157,2,1,3,59,-1.53463,-18,0.22835999999999998,124.713,1.40808,39.3799,229456
872415676,-1,157,4,3,3,60,-1.53131,-18,0.220514,126.191,1.42163,41.2182,221448
872415780,-1,237,1,1,4,36,-1.5261,-18,0.219858,124.68799999999999,1.3044799999999999,42.9645,237704
872415781,-1,237,1,3,4,37,-1.53145,-18,0.229537,124.148,1.61027,36.3648,237704
