stripid,w1c,w2c,w3c,w4c,w5c
230104,-0.65625,-0.515625,0.25,0.515625,0.40625
230040,-0.65625,-0.515625,0.25,0.515625,0.40625
229984,-0.65625,-0.515625,0.25,0.515625,0.40625
221976,-0.65625,-0.515625,0.25,0.515625,0.40625
221904,-0.65625,-0.515625,0.25,0.515625,0.40625
221832,-0.65625,-0.515625,0.25,0.515625,0.40625
221768,-0.65625,-0.515625,0.25,0.515625,0.40625
221512,-0.65625,-0.515625,0.25,0.515625,0.40625
213520,-0.65625,-0.515625,0.25,0.515625,0.40625
213512,-0.65625,-0.515625,0.25,0.515625,0.40625
213200,-0.65625,-0.515625,0.25,0.515625,0.40625
246176,-0.65625,-0.515625,0.25,0.515625,0.40625
238288,-0.65625,-0.515625,0.25,0.515625,0.40625
238232,-0.65625,-0.515625,0.25,0.515625,0.40625
230408,-0.65625,-0.515625,0.25,0.515625,0.40625
230344,-0.65625,-0.515625,0.25,0.515625,0.40625
230280,-0.65625,-0.515625,0.25,0.515625,0.40625
230216,-0.65625,-0.515625,0.25,0.515625,0.40625
221912,-0.65625,-0.515625,0.25,0.515625,0.40625
221840,-0.65625,-0.515625,0.25,0.515625,0.40625
213448,-0.65625,-0.515625,0.25,0.515625,0.40625
246104,-0.65625,-0.515625,0.25,0.515625,0.40625
238352,-0.65625,-0.515625,0.25,0.515625,0.40625
238536,-0.65625,-0.515625,0.25,0.515625,0.40625
238472,-0.65625,-0.515625,0.25,0.515625,0.40625
238408,-0.65625,-0.515625,0.25,0.515625,0.40625
230416,-0.65625,-0.515625,0.25,0.515625,0.40625
230352,-0.65625,-0.515625,0.25,0.515625,0.40625
230288,-0.65625,-0.515625,0.25,0.515625,0.40625
230224,-0.65625,-0.515625,0.25,0.515625,0.40625
222216,-0.65625,-0.515625,0.25,0.515625,0.40625
222152,-0.65625,-0.515625,0.25,0.515625,0.40625
222088,-0.65625,-0.515625,0.25,0.515625,0.40625
221776,-0.65625,-0.515625,0.25,0.515625,0.40625
213528,-0.65625,-0.515625,0.25,0.515625,0.40625
245960,-0.65625,-0.515625,0.25,0.515625,0.40625
246216,-0.65625,-0.515625,0.25,0.515625,0.40625
246152,-0.65625,-0.515625,0.25,0.515625,0.40625
246344,-0.65625,-0.515625,0.25,0.515625,0.40625
238360,-0.65625,-0.515625,0.25,0.515625,0.40625
238544,-0.65625,-0.515625,0.25,0.515625,0.40625
238480,-0.65625,-0.515625,0.25,0.515625,0.40625
238416,-0.65625,-0.515625,0.25,0.515625,0.40625
82120,-0.65625,-0.515625,0.25,0.515625,0.40625
82056,-0.65625,-0.515625,0.25,0.515625,0.40625
222224,-0.65625,-0.515625,0.25,0.515625,0.40625
222160,-0.65625,-0.515625,0.25,0.515625,0.40625
222096,-0.65625,-0.515625,0.25,0.515625,0.40625
221784,-0.65625,-0.515625,0.25,0.515625,0.40625
213768,-0.65625,-0.515625,0.25,0.515625,0.40625
213456,-0.65625,-0.515625,0.25,0.515625,0.40625
213384,-0.65625,-0.515625,0.25,0.515625,0.40625
213128,-0.65625,-0.515625,0.25,0.515625,0.40625
246160,-0.65625,-0.515625,0.25,0.515625,0.40625
213464,-0.65625,-0.515625,0.25,0.515625,0.40625
