stripid,w1,w2,w3,w4,w5,w1c,w2c,w3c,w4c,w5c,encw1,encw2,encw3,encw4,encw5
778440,-0.660515,-0.505208,0.289931,0.508462,0.367330,-0.656250,-0.500000,0.296875,0.500000,0.359375,86.000000,96.000000,19.000000,32.000000,23.000000
778448,-0.613226,-0.524691,0.247731,0.501681,0.388505,-0.609375,-0.531250,0.250000,0.500000,0.390625,89.000000,94.000000,16.000000,32.000000,25.000000
778504,-0.662752,-0.503289,0.284496,0.508610,0.372936,-0.656250,-0.500000,0.281250,0.500000,0.375000,86.000000,96.000000,18.000000,32.000000,24.000000
778512,-0.630215,-0.517767,0.265411,0.502646,0.379925,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
778568,-0.626080,-0.520303,0.269732,0.501916,0.374735,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
778632,-0.654849,-0.507055,0.284294,0.506111,0.371498,-0.656250,-0.500000,0.281250,0.500000,0.375000,86.000000,96.000000,18.000000,32.000000,24.000000
778640,-0.629574,-0.518297,0.272142,0.501064,0.374665,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
778696,-0.631088,-0.515378,0.259854,0.499390,0.387223,-0.640625,-0.515625,0.265625,0.500000,0.390625,87.000000,95.000000,17.000000,32.000000,25.000000
778704,-0.612902,-0.524613,0.256409,0.498646,0.382459,-0.609375,-0.531250,0.250000,0.500000,0.390625,89.000000,94.000000,16.000000,32.000000,25.000000
778760,-0.625869,-0.520131,0.265270,0.502336,0.378394,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
778768,-0.627681,-0.519766,0.273862,0.501766,0.371818,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
778776,-0.650000,-0.509072,0.282664,0.504358,0.372050,-0.656250,-0.500000,0.281250,0.500000,0.375000,86.000000,96.000000,18.000000,32.000000,24.000000
778824,-0.603877,-0.529155,0.249203,0.500060,0.383769,-0.609375,-0.531250,0.250000,0.500000,0.390625,89.000000,94.000000,16.000000,32.000000,25.000000
778832,-0.623157,-0.520994,0.276581,0.497594,0.369976,-0.625000,-0.531250,0.281250,0.500000,0.375000,88.000000,94.000000,18.000000,32.000000,24.000000
778888,-0.641933,-0.513548,0.280472,0.504204,0.370805,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
778952,-0.607989,-0.527603,0.260673,0.498250,0.376669,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
778960,-0.618514,-0.523996,0.271835,0.499904,0.370772,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
779016,-0.633733,-0.517862,0.273323,0.505274,0.372998,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
779080,-0.600535,-0.528181,0.251648,0.492626,0.384442,-0.593750,-0.531250,0.250000,0.484375,0.390625,90.000000,94.000000,16.000000,31.000000,25.000000
779088,-0.616570,-0.522298,0.260306,0.496652,0.381909,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
779144,-0.637386,-0.513681,0.282064,0.498227,0.370776,-0.640625,-0.515625,0.281250,0.500000,0.375000,87.000000,95.000000,18.000000,32.000000,24.000000
779152,-0.601534,-0.530357,0.264697,0.495612,0.371581,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
779208,-0.603807,-0.527965,0.259770,0.493849,0.378153,-0.609375,-0.531250,0.265625,0.500000,0.375000,89.000000,94.000000,17.000000,32.000000,24.000000
779272,-0.623759,-0.522011,0.272040,0.502247,0.371483,-0.625000,-0.515625,0.265625,0.500000,0.375000,88.000000,95.000000,17.000000,32.000000,24.000000
