stripid,PU,S,A,A_std,E_pu,E_pu_std,w1,w2,w3,w4,w5,sw1,sw2,sw3,sw4,sw5,eta_ring,w1c,w2c,w3c,w4c,w5c
287136,50,10,5.092960,0.187003,0.024290,0.017549,-0.696657,-0.489222,0.302826,0.513935,0.369119,0.025916,0.021836,0.026435,0.021123,0.018325,-19,-0.703125,-0.484375,0.296875,0.515625,0.375000
287136,50,30,15.223800,0.253697,0.024529,0.017399,-0.694535,-0.487468,0.301473,0.512187,0.368342,0.015858,0.009677,0.012931,0.006970,0.008814,-19,-0.703125,-0.484375,0.296875,0.515625,0.375000
287440,30,2,1.114160,0.080226,0.020737,0.015587,-0.729713,-0.482488,0.343740,0.523505,0.344956,0.089572,0.087758,0.108871,0.083829,0.105094,-20,-0.734375,-0.484375,0.343750,0.531250,0.343750
287440,30,10,5.491130,0.105902,0.020339,0.014341,-0.722627,-0.474332,0.330638,0.515153,0.351169,0.021328,0.019497,0.024241,0.018347,0.017156,-20,-0.718750,-0.468750,0.328125,0.515625,0.343750
287440,30,30,16.430500,0.211439,0.020442,0.015175,-0.720567,-0.472916,0.329291,0.513590,0.350602,0.014446,0.008567,0.014721,0.007042,0.010475,-20,-0.718750,-0.468750,0.328125,0.515625,0.343750
287440,50,2,1.130130,0.102812,0.034381,0.025306,-0.736409,-0.489141,0.352637,0.530539,0.342373,0.110397,0.103694,0.129225,0.099324,0.121731,-20,-0.734375,-0.484375,0.343750,0.531250,0.343750
287440,50,10,5.505010,0.136140,0.034193,0.019530,-0.724266,-0.475788,0.331846,0.516723,0.351484,0.026382,0.022800,0.032261,0.021867,0.025911,-20,-0.718750,-0.468750,0.328125,0.515625,0.343750
287440,50,30,16.445500,0.230351,0.033979,0.019404,-0.721138,-0.473234,0.329552,0.513945,0.350875,0.014894,0.009027,0.015286,0.007653,0.010780,-20,-0.718750,-0.468750,0.328125,0.515625,0.343750
287512,30,2,1.185340,0.090028,0.028696,0.018543,-0.719210,-0.497350,0.335978,0.529728,0.350855,0.093672,0.103187,0.111264,0.095838,0.093549,-20,-0.718750,-0.500000,0.343750,0.531250,0.343750
287512,30,10,5.813330,0.123276,0.028394,0.017912,-0.708316,-0.484802,0.319365,0.517241,0.356512,0.020023,0.018598,0.021615,0.018180,0.014316,-20,-0.703125,-0.484375,0.312500,0.515625,0.359375
287512,30,30,17.376500,0.211345,0.028348,0.017692,-0.705896,-0.483019,0.317775,0.515351,0.355789,0.009910,0.006961,0.010881,0.006944,0.007366,-20,-0.703125,-0.484375,0.312500,0.515625,0.359375
287512,50,2,1.203990,0.132925,0.047660,0.024270,-0.725553,-0.505906,0.345008,0.538035,0.348416,0.115162,0.125372,0.143244,0.114591,0.131784,-20,-0.718750,-0.500000,0.343750,0.531250,0.343750
287512,50,10,5.830970,0.138797,0.047349,0.023173,-0.710716,-0.486679,0.320878,0.519195,0.357322,0.025764,0.024910,0.029513,0.024190,0.017727,-20,-0.718750,-0.484375,0.328125,0.515625,0.359375
287512,50,30,17.394500,0.218152,0.047724,0.023333,-0.706593,-0.483563,0.318111,0.515920,0.356124,0.011266,0.008229,0.012314,0.008160,0.007834,-20,-0.703125,-0.484375,0.312500,0.515625,0.359375
295760,30,2,1.240050,0.108810,0.028446,0.018430,-0.685464,-0.509926,0.315189,0.519745,0.360456,0.093209,0.095895,0.102301,0.083998,0.107549,-21,-0.687500,-0.500000,0.312500,0.515625,0.359375
295760,30,10,6.087060,0.111523,0.028551,0.018558,-0.678460,-0.499408,0.301352,0.510264,0.366251,0.019996,0.020078,0.022970,0.017803,0.017814,-21,-0.671875,-0.500000,0.296875,0.515625,0.359375
295760,30,30,18.205400,0.219251,0.028826,0.018194,-0.676202,-0.497460,0.299673,0.508447,0.365542,0.011858,0.007962,0.010521,0.006067,0.006346,-21,-0.671875,-0.500000,0.296875,0.515625,0.359375
295760,50,2,1.258890,0.132613,0.047693,0.024888,-0.698318,-0.521490,0.327240,0.532328,0.360239,0.107191,0.118539,0.125502,0.103626,0.114988,-21,-0.703125,-0.515625,0.328125,0.531250,0.359375
295760,50,10,6.105530,0.129791,0.047482,0.024205,-0.680660,-0.500710,0.302427,0.511824,0.367119,0.026813,0.024137,0.025565,0.022145,0.023961,-21,-0.687500,-0.500000,0.296875,0.515625,0.375000
295760,50,30,18.228000,0.274655,0.047476,0.023303,-0.677013,-0.498081,0.300139,0.509029,0.365926,0.011818,0.008702,0.010770,0.006836,0.007084,-21,-0.671875,-0.500000,0.296875,0.515625,0.359375
147720,30,2,1.341370,0.120620,0.041197,0.024420,-0.736899,-0.491174,0.340675,0.532462,0.354936,0.107026,0.109631,0.124769,0.099132,0.109097,-22,-0.734375,-0.500000,0.343750,0.531250,0.359375
147720,30,10,6.550620,0.165571,0.040644,0.023869,-0.722582,-0.475251,0.320227,0.516500,0.361105,0.026952,0.022228,0.028421,0.020498,0.018122,-22,-0.718750,-0.468750,0.312500,0.515625,0.359375
