crystal rawid	A 	 	t_0 	alpha 	beta 
838861665	0.242166	123.236	1.15876	40.6175
838861666	0.242591	124.327	1.15898	40.6391
838861667	0.243473	123.412	1.17283	39.9903
838861668	0.241942	122.369	1.14418	40.8872
838861669	0.241082	122.679	1.16547	40.7134
838861670	0.240701	123.325	1.16809	40.8353
838861671	0.242908	123.301	1.16894	40.3143
838861672	0.241059	122.887	1.14884	41.0316
838861825	0.242335	123.458	1.16545	40.4617
838861826	0.240625	123.806	1.15439	41.062
838861827	0.24176	124.596	1.1979	40.2634
838861828	0.240433	124.762	1.19401	40.4206
838861829	0.241234	123.794	1.19701	40.2147
838861830	0.241244	125.103	1.16835	40.9142
838861831	0.242356	125.395	1.15421	40.376
838861832	0.241807	124.929	1.17276	40.6526
838861833	0.241397	125.325	1.20393	40.133
838861834	0.242593	122.441	1.14117	40.797
838861835	0.242264	125.773	1.05963	41.6434
838861836	0.242367	124.494	1.19966	39.9734
838861837	0.241848	123.985	1.19089	40.1353
838861838	0.242592	123.685	1.17618	40.1307
838861839	0.241647	123.651	1.21343	39.7398
838861840	0.241898	124.551	1.17106	40.4937
838861841	0.242377	123.902	1.17751	40.3739
838861842	0.240228	124.036	1.19053	40.6328
838861843	0.239806	123.656	1.19015	40.5676
838861844	0.238679	124.484	1.20118	40.8742
838861845	0.242731	124.426	1.15159	40.6711
838861846	0.241715	125.066	1.21482	40.0057
838861847	0.241532	124.08	1.17515	40.4576
838861848	0.241113	123.611	1.18564	40.4622
838861849	0.241522	124.027	1.17411	40.5952
838861850	0.242291	125.264	1.13357	40.5217
838861851	0.241611	123.865	1.1586	40.7635
838861852	0.241505	124.23	1.19837	40.111
838861853	0.241858	124.026	1.18932	40.2513
838861854	0.241747	122.943	1.16029	40.6637
838861855	0.241464	124.652	1.18463	40.5797
838861856	0.241831	124.824	1.19571	40.3172
838861857	0.240345	124.485	1.1763	40.9161
838861858	0.240989	124.51	1.2029	40.217
838861859	0.240744	124.369	1.19205	40.4354
838861860	0.242105	126.082	1.17377	40.6761
838861861	0.241784	125.724	1.16256	40.6598
838861862	0.241818	123.065	1.16466	40.5075
838861863	0.241374	124.169	1.17252	40.6476
838861864	0.24118	123.609	1.14751	41.1091
838861865	0.241966	123.515	1.16778	40.4155
838861866	0.242212	125.245	1.19145	40.3066
838861867	0.241394	124.18	1.17278	40.6063
838861868	0.2429	123.732	1.18133	40.0523
838861869	0.240598	124.313	1.16475	41.0395
838861870	0.242866	125.054	1.18092	40.414
838861871	0.242755	123.472	1.17411	40.2505
838861872	0.242907	123.051	1.1845	40.044
838861873	0.239864	123.487	1.1183	41.837
838861874	0.241977	122.688	1.15848	40.6477
838861875	0.241572	123.293	1.16746	40.5877
838861876	0.241975	123.831	1.18417	40.0177
838861877	0.242485	123.419	1.15722	40.5621
838861878	0.243741	123.024	1.1592	40.2584
838861879	0.242651	123.864	1.16401	40.002
838861880	0.24262	124.325	1.18803	40.1304
838861881	0.241939	124.603	1.15976	40.7513
838861882	0.241907	124.033	1.13427	41.2433
838861883	0.241872	123.182	1.14345	40.8322
838861884	0.241452	122.792	1.14408	40.9819
